ID|Name|Location|Repository
BodDou15|Bodleian Library: Douce 52 (SC 21589)|Oxford|Bodleian Library
BodDou25|Bodleian Library: Douce 52 (SC 21599)|Oxford|Bodleian Library
BodDou45|Bodleian Library: Douce 52 (SC 21619)|Oxford|Bodleian Library
BodDou52|Bodleian Library: Douce 52 (SC 21626)|Oxford|Bodleian Library
BodDou54|Bodleian Library: Douce 54 (SC 21628)|Oxford|Bodleian Library
BodDou60|Bodleian Library: Douce 60 (SC 21634)|Oxford|Bodleian Library
BodDou65|Bodleian Library: Douce 65 (SC 21639)|Oxford|Bodleian Library
BodDou78|Bodleian Library: Douce 78 (SC 21652)|Oxford|Bodleian Library
BodDou84|Bodleian Library: Douce 84 (SC 21658)|Oxford|Bodleian Library
BodDou88|Bodleian Library: Douce 88|Oxford|Bodleian Library
BodDou95|Bodleian Library: Douce 95 (SC 21669)|Oxford|Bodleian Library
BodDou98|Bodleian Library: Douce 98 (SC 21672)|Oxford|Bodleian Library
BodDou100|Bodleian Library: Douce 100 (SC 21674)|Oxford|Bodleian Library
BodDou103|Bodleian Library: Douce 103 (SC 21677)|Oxford|Bodleian Library
BodDou104|Bodleian Library: Douce 104 (SC 21678)|Oxford|Bodleian Library
BodDou107|Bodleian Library: Douce 107 (SC 21681)|Oxford|Bodleian Library
BodDou124|Bodleian Library: Douce 124 (SC 21698)|Oxford|Bodleian Library
BodDou126|Bodleian Library: Douce 126 (SC 21700)|Oxford|Bodleian Library
BodDou128|Bodleian Library: Douce 128 (SC 21702)|Oxford|Bodleian Library
BodDou139|Bodleian Library: Douce 139 (SC 21713)|Oxford|Bodleian Library
